Generation,BestFitness,AvgFitness,MaxKills,MaxSurvival
1,68.30,-1.64,0,757
2,274.46,21.73,0,120
3,274.46,-22.98,0,497
1,0.00,-238.36,0,0
2,0.00,-68.99,0,0
3,0.00,-401.79,0,0
4,0.00,-151.34,0,0
1,0.00,-823.05,0,0
2,0.00,-122.26,0,0
3,0.00,-172.48,0,0
4,0.00,-106.17,0,0
5,0.00,-190.80,0,0
6,0.00,-357.61,0,0
7,0.00,0.00,0,0
8,0.00,-345.73,0,0
9,0.00,-296.58,0,0
10,0.00,-222.40,0,0
1,0.00,-131.40,0,0
2,0.00,-156.22,0,0
3,0.00,-136.04,0,0
4,0.00,-114.45,0,0
5,0.00,-208.42,0,0
6,0.00,-483.16,0,0
7,0.00,-150.18,0,0
8,0.00,-204.39,0,0
9,0.00,-114.11,0,0
10,0.00,-216.54,0,0
1,0.00,-242.69,0,0
1,0.00,-592.13,0,0
2,0.00,-470.98,0,0
3,0.00,-408.32,0,0
4,0.00,-415.50,0,0
5,0.00,-285.02,0,0
6,0.00,-251.65,0,0
7,0.00,-331.56,0,0
8,0.00,-164.42,0,0
9,0.00,-88.72,0,0
10,0.00,0.00,0,0
11,0.00,-394.12,0,0
12,0.00,-235.08,0,0
13,0.00,-156.73,0,0
14,0.00,-599.93,0,0
15,0.00,-486.92,0,0
16,0.00,-432.80,0,0
17,0.00,-412.93,0,0
18,0.00,-180.98,0,0
19,0.00,-361.38,0,0
20,0.00,0.00,0,0
21,0.00,-376.73,0,0
22,0.00,-296.60,0,0
23,0.00,-151.59,0,0
24,0.00,-374.12,0,0
25,0.00,-442.53,0,0
26,0.00,-153.79,0,0
27,0.00,-302.91,0,0
28,0.00,-442.40,0,0
29,0.00,-142.81,0,0
30,0.00,-125.01,0,0
31,0.00,-143.86,0,0
32,0.00,-266.70,0,0
33,0.00,-513.57,0,0
34,0.00,0.00,0,0
35,0.00,-274.97,0,0
36,0.00,-428.92,0,0
37,0.00,-280.49,0,0
38,0.00,-313.31,0,0
39,0.00,-149.08,0,0
40,0.00,0.00,0,0
41,0.00,-156.02,0,0
42,0.00,-128.84,0,0
43,0.00,0.00,0,0
44,0.00,0.00,0,0
45,0.00,0.00,0,0
46,0.00,-289.81,0,0
47,0.00,-229.52,0,0
48,0.00,-150.69,0,0
49,0.00,-128.19,0,0
50,0.00,-145.41,0,0
51,0.00,-298.99,0,0
52,0.00,-231.00,0,0
53,0.00,-152.49,0,0
54,0.00,-368.44,0,0
55,0.00,-118.03,0,0
56,0.00,0.00,0,0
57,0.00,-298.83,0,0
58,0.00,-260.14,0,0
59,0.00,-374.49,0,0
60,0.00,-422.47,0,0
61,0.00,-87.30,0,0
62,0.00,-73.87,0,0
63,0.00,-610.00,0,0
64,0.00,-437.02,0,0
65,0.00,-157.61,0,0
66,0.00,-139.08,0,0
67,0.00,-149.80,0,0
68,0.00,-642.48,0,0
69,0.00,-281.57,0,0
70,0.00,-396.86,0,0
71,0.00,-41.43,0,0
72,0.00,-157.49,0,0
73,0.00,-427.03,0,0
74,0.00,-224.88,0,0
75,0.00,-36.23,0,0
76,0.00,-256.61,0,0
77,0.00,-559.68,0,0
78,0.00,-682.37,0,0
79,0.00,-534.49,0,0
80,0.00,-308.39,0,0
81,0.00,-279.52,0,0
82,0.00,-151.09,0,0
83,0.00,0.00,0,0
84,0.00,-145.01,0,0
85,0.00,-90.78,0,0
86,0.00,-138.30,0,0
87,0.00,-250.56,0,0
88,0.00,0.00,0,0
89,0.00,-279.26,0,0
90,0.00,-247.89,0,0
91,892.87,-474.88,1,335
92,892.87,-209.46,0,0
93,892.87,-440.16,0,0
94,892.87,-507.17,0,0
95,892.87,-407.81,0,0
96,892.87,-300.01,0,0
97,892.87,-459.01,0,0
98,892.87,-107.83,0,0
99,892.87,-200.75,0,0
100,892.87,0.00,0,0
101,892.87,-663.04,0,0
102,892.87,-137.36,0,0
103,892.87,-275.32,0,0
104,892.87,-380.38,0,0
105,892.87,-255.54,0,0
106,892.87,-233.32,0,0
107,892.87,-297.22,0,0
108,892.87,-458.74,0,0
109,892.87,-241.96,0,0
110,892.87,-185.05,0,0
111,892.87,-580.15,0,0
112,892.87,0.00,0,0
113,892.87,-120.50,0,0
114,892.87,-171.03,0,0
115,892.87,0.00,0,0
116,892.87,-214.01,0,0
117,892.87,-146.61,0,0
118,892.87,-213.35,0,0
119,892.87,-339.63,0,0
120,892.87,-228.65,0,0
121,892.87,-339.31,0,0
122,892.87,-279.72,0,0
123,892.87,-75.86,0,0
124,892.87,-123.44,0,0
125,892.87,-197.67,1,502
126,892.87,-798.71,0,0
127,892.87,-154.20,0,0
128,892.87,-368.52,0,0
129,892.87,-225.04,0,0
130,892.87,-646.94,0,0
131,892.87,-366.24,0,0
132,892.87,-244.47,0,0
133,892.87,-78.46,0,0
134,892.87,-64.94,0,0
135,892.87,-215.62,0,0
136,892.87,-184.49,0,0
137,892.87,-438.42,0,0
138,892.87,-368.45,0,0
139,892.87,-498.98,0,0
140,892.87,0.00,0,0
141,892.87,-152.97,0,0
142,892.87,-90.80,0,0
143,892.87,-79.22,0,0
144,892.87,-236.93,0,0
145,892.87,-507.41,0,0
146,892.87,-384.81,0,0
147,892.87,-168.50,0,0
148,892.87,-135.19,0,0
149,892.87,-319.27,0,0
150,892.87,-654.63,0,0
151,892.87,-173.59,0,0
152,892.87,-93.93,0,0
153,892.87,-179.92,0,0
154,892.87,-230.62,0,0
155,892.87,-145.19,0,0
156,892.87,-232.98,0,0
157,892.87,-263.46,0,0
158,892.87,-220.47,0,0
159,892.87,0.00,0,0
160,892.87,-289.93,0,0
161,892.87,-545.49,0,0
162,892.87,-154.20,0,0
163,892.87,-217.84,0,0
164,892.87,-253.31,0,0
165,892.87,-123.72,0,0
166,892.87,-156.76,0,0
167,892.87,-118.38,0,0
168,892.87,-184.32,0,0
169,892.87,-361.96,0,0
170,892.87,-278.66,0,0
171,892.87,-60.43,0,0
172,892.87,-660.33,0,0
173,892.87,-120.62,0,0
174,892.87,-212.86,0,0
175,892.87,-206.67,0,0
176,892.87,-171.11,0,0
177,892.87,-110.86,0,0
178,892.87,-455.28,0,0
179,892.87,-152.30,0,0
180,892.87,-147.16,0,0
181,892.87,-306.62,0,0
182,892.87,-287.69,0,0
183,892.87,-539.44,0,0
184,892.87,-352.32,0,0
185,892.87,-265.74,0,0
186,892.87,-131.04,0,0
187,892.87,-240.13,0,0
188,892.87,-236.65,0,0
189,892.87,0.00,0,0
190,892.87,-73.28,0,0
191,892.87,-81.35,0,0
192,892.87,-70.39,0,0
193,892.87,-383.89,0,0
194,892.87,-367.43,0,0
195,892.87,0.00,0,0
196,892.87,-180.12,0,0
197,892.87,-388.87,0,0
198,892.87,-418.78,0,0
199,892.87,-51.13,0,0
200,892.87,-328.33,0,0
201,892.87,-573.72,0,0
202,892.87,-139.18,0,0
203,892.87,-238.19,0,0
204,892.87,0.00,0,0
205,892.87,-106.60,0,0
206,892.87,0.00,0,0
207,892.87,-302.62,0,0
208,892.87,-105.99,0,0
209,892.87,-254.14,0,0
210,892.87,-546.39,0,0
211,892.87,-261.08,0,0
212,892.87,-542.36,0,0
213,892.87,-270.21,0,0
214,892.87,-314.19,0,0
215,892.87,-228.10,0,0
216,892.87,-294.67,0,0
217,892.87,-270.74,0,0
218,892.87,-227.81,0,0
219,892.87,0.00,0,0
220,892.87,0.00,0,0
221,892.87,-151.49,0,0
222,892.87,-276.09,0,0
223,892.87,-290.38,0,0
224,892.87,-252.46,0,0
225,892.87,-423.03,0,0
226,892.87,-279.91,0,0
227,892.87,-305.75,0,0
228,892.87,-140.84,0,0
229,892.87,-141.58,0,0
230,892.87,-232.80,0,0
231,892.87,-268.98,0,0
232,892.87,-149.58,0,0
233,892.87,-383.63,0,0
234,892.87,-245.15,0,0
235,892.87,-355.73,0,0
236,892.87,-295.45,0,0
237,892.87,-261.60,0,0
238,892.87,-140.34,0,0
239,892.87,-294.73,0,0
240,892.87,-754.47,0,0
241,892.87,-136.53,0,0
242,892.87,-320.64,0,0
243,892.87,-266.28,0,0
244,892.87,-383.54,0,0
245,892.87,-310.82,0,0
246,892.87,-114.17,0,0
247,892.87,-468.44,0,0
248,892.87,-296.77,0,0
249,892.87,-295.66,0,0
250,892.87,-341.12,0,0
251,892.87,-89.28,0,0
252,892.87,0.00,0,0
253,892.87,-241.89,0,0
254,892.87,-39.52,0,0
255,892.87,-126.98,0,0
256,892.87,-140.87,0,0
257,892.87,-195.77,0,0
258,892.87,-259.44,0,0
259,892.87,0.00,0,0
260,892.87,-139.68,0,0
261,892.87,-404.48,0,0
262,892.87,-226.11,0,0
263,892.87,-645.65,0,0
264,892.87,-192.95,0,0
265,892.87,-272.09,0,0
266,892.87,-131.09,0,0
267,892.87,-291.57,0,0
268,892.87,-552.41,0,0
269,892.87,-354.67,0,0
270,892.87,-138.86,0,0
271,892.87,-295.82,0,0
272,892.87,-63.92,0,0
273,892.87,-334.08,0,0
274,892.87,-275.38,0,0
275,892.87,-121.99,1,3237
276,892.87,-305.06,0,0
277,892.87,-342.98,0,0
278,892.87,-86.88,0,0
279,892.87,-211.98,0,0
280,892.87,-283.65,0,0
281,892.87,0.00,0,0
282,892.87,-492.50,0,0
283,892.87,-282.62,0,0
284,892.87,-146.16,0,0
285,892.87,-307.10,0,0
286,892.87,-144.85,0,0
287,892.87,-143.67,0,0
288,892.87,-247.44,0,0
289,892.87,-247.18,0,0
290,892.87,-453.11,0,0
291,892.87,-493.20,0,0
292,892.87,0.00,0,0
293,892.87,-147.24,0,0
294,892.87,-151.09,0,0
295,892.87,-287.38,0,0
296,892.87,-149.56,0,0
297,892.87,-114.02,0,0
298,892.87,-190.02,0,0
299,892.87,-233.71,0,0
300,892.87,-223.58,0,0
301,892.87,-176.28,0,0
302,892.87,-275.10,0,0
303,892.87,-141.02,0,0
304,892.87,-218.03,0,0
305,892.87,-425.95,0,0
306,892.87,-443.47,0,0
307,892.87,-549.60,0,0
308,892.87,-70.52,0,0
309,892.87,-420.40,0,0
310,892.87,-178.69,0,0
311,892.87,-392.57,0,0
312,892.87,-342.88,0,0
313,892.87,-137.67,0,0
314,892.87,-432.41,0,0
315,892.87,-213.92,0,0
316,892.87,-69.55,0,0
317,892.87,-89.69,0,0
318,892.87,-284.22,0,0
319,892.87,-372.27,0,0
320,892.87,-125.29,0,0
321,892.87,0.00,0,0
322,892.87,-366.27,0,0
323,892.87,-490.76,0,0
324,892.87,-633.51,0,0
325,892.87,-206.48,0,0
326,892.87,-218.62,0,0
327,892.87,-176.85,0,0
328,892.87,-148.67,0,0
329,892.87,-249.75,0,0
330,892.87,-208.81,0,0
331,892.87,-349.37,0,0
332,892.87,-171.94,0,0
333,892.87,-423.36,0,0
334,892.87,-386.20,0,0
335,892.87,0.00,0,0
336,892.87,-386.40,0,0
337,892.87,-296.15,0,0
338,892.87,-282.81,0,0
339,892.87,-297.87,0,0
340,892.87,-261.19,0,0
341,892.87,-258.39,0,0
342,892.87,-295.02,0,0
343,892.87,-139.32,0,0
344,892.87,-268.93,0,0
345,892.87,-301.28,0,0
346,892.87,-126.28,0,0
347,892.87,-233.33,0,0
348,892.87,-318.20,0,0
349,892.87,0.00,0,0
350,892.87,-188.73,0,0
351,892.87,-245.61,0,0
352,892.87,0.00,0,0
353,892.87,-389.34,0,0
354,892.87,-276.36,0,0
355,892.87,-300.23,0,0
356,892.87,-47.47,0,0
357,892.87,0.00,0,0
358,892.87,-58.64,0,0
359,892.87,-290.94,0,0
360,892.87,-152.34,0,0
361,892.87,0.00,0,0
362,892.87,-76.64,0,0
363,892.87,-265.56,0,0
364,892.87,-459.68,0,0
365,892.87,-288.72,0,0
366,892.87,-81.07,0,0
367,892.87,-71.63,0,0
368,892.87,-291.16,0,0
369,892.87,0.00,0,0
370,892.87,-285.84,0,0
371,892.87,-405.27,0,0
372,892.87,-120.86,0,0
373,892.87,-358.37,0,0
374,892.87,-71.23,0,0
375,892.87,-481.09,0,0
376,892.87,-280.45,0,0
377,892.87,-144.75,0,0
378,892.87,-142.79,0,0
379,892.87,-122.75,0,0
380,892.87,-304.23,0,0
381,892.87,-145.76,0,0
382,892.87,-574.44,0,0
383,892.87,-252.29,0,0
384,892.87,-229.45,0,0
385,892.87,-480.82,0,0
386,892.87,-149.61,0,0
387,892.87,-208.28,0,0
388,892.87,-70.71,0,0
389,892.87,-292.74,0,0
390,892.87,-227.62,0,0
391,892.87,-557.32,0,0
392,892.87,-272.92,0,0
393,892.87,-526.98,0,0
394,892.87,-716.62,0,0
395,892.87,-321.67,0,0
396,892.87,-295.71,0,0
397,892.87,-529.95,0,0
398,892.87,-257.60,0,0
399,892.87,-408.39,0,0
400,892.87,-308.86,0,0
401,892.87,-358.88,0,0
402,892.87,-311.28,0,0
403,892.87,-334.56,0,0
404,892.87,-387.08,0,0
405,892.87,-459.69,0,0
406,892.87,-202.10,0,0
407,892.87,-237.62,0,0
408,892.87,-81.08,0,0
409,892.87,-116.29,0,0
410,892.87,-322.83,0,0
411,892.87,-480.50,0,0
412,892.87,-82.34,0,0
413,892.87,-179.85,0,0
414,892.87,-283.82,0,0
415,892.87,-96.61,0,0
416,892.87,-116.15,0,0
417,892.87,-595.25,0,0
418,892.87,-109.24,0,0
419,892.87,-414.69,0,0
420,892.87,-69.96,0,0
421,892.87,-545.77,0,0
422,892.87,-333.47,0,0
423,892.87,0.00,0,0
424,892.87,-442.34,0,0
425,892.87,-322.13,0,0
426,892.87,-201.79,0,0
427,892.87,-253.21,0,0
428,892.87,-422.70,0,0
429,892.87,-279.46,0,0
430,892.87,-146.99,0,0
431,892.87,0.00,0,0
432,892.87,-331.49,0,0
433,892.87,0.00,0,0
434,892.87,-307.65,0,0
435,892.87,-254.35,0,0
436,892.87,-142.59,0,0
437,892.87,-508.27,0,0
438,892.87,-205.13,0,0
439,892.87,-198.38,0,0
440,892.87,-75.55,0,0
441,892.87,-201.96,0,0
442,892.87,-144.98,0,0
443,892.87,0.00,0,0
444,892.87,0.00,0,0
445,892.87,-128.76,0,0
446,892.87,-71.07,0,0
447,892.87,-187.36,0,0
448,892.87,0.00,0,0
449,892.87,-404.32,0,0
450,892.87,-284.61,0,0
451,892.87,-125.31,0,0
452,892.87,-612.97,0,0
453,892.87,-221.52,0,0
454,892.87,-204.40,0,0
455,892.87,-144.27,0,0
456,892.87,-262.00,0,0
457,892.87,-283.88,0,0
458,892.87,-209.81,0,0
459,892.87,-495.39,0,0
460,892.87,-308.51,0,0
461,892.87,-492.65,0,0
462,892.87,-384.35,0,0
463,892.87,-122.77,0,0
464,892.87,-301.05,0,0
465,892.87,-323.89,0,0
466,892.87,-455.04,0,0
467,892.87,-455.15,0,0
468,892.87,-284.69,0,0
469,892.87,-285.84,0,0
470,892.87,-291.67,0,0
471,892.87,-298.61,0,0
472,892.87,-145.45,0,0
473,892.87,-494.85,0,0
474,892.87,-281.08,0,0
475,892.87,-298.41,0,0
476,892.87,-70.00,0,0
477,892.87,-415.10,0,0
478,892.87,0.00,0,0
479,892.87,-187.55,0,0
480,892.87,-296.78,0,0
481,892.87,-316.70,0,0
482,892.87,-299.36,0,0
483,892.87,-346.39,0,0
484,892.87,-539.39,0,0
485,892.87,-143.43,0,0
486,892.87,-267.29,0,0
487,892.87,-253.43,0,0
488,892.87,-298.02,0,0
489,892.87,-295.49,0,0
490,892.87,-292.09,0,0
491,892.87,-406.31,0,0
492,892.87,-107.95,0,0
493,892.87,-227.19,0,0
494,892.87,-426.13,0,0
495,892.87,-370.12,0,0
496,892.87,-376.82,0,0
497,892.87,-70.55,0,0
498,892.87,0.00,0,0
499,892.87,-148.69,0,0
500,892.87,-158.54,0,0
501,892.87,-167.47,0,0
502,892.87,-214.11,0,0
503,892.87,0.00,0,0
504,892.87,-355.59,0,0
505,892.87,-448.93,0,0
506,892.87,-639.38,0,0
507,892.87,-222.92,0,0
508,892.87,-70.17,0,0
509,892.87,-229.75,0,0
510,892.87,-367.44,0,0
511,892.87,-70.55,0,0
512,892.87,-515.10,0,0
513,892.87,-250.70,0,0
514,892.87,-220.17,0,0
515,892.87,-214.34,0,0
516,892.87,-143.80,0,0
517,892.87,-162.68,0,0
518,892.87,-323.25,0,0
519,892.87,-263.98,0,0
520,892.87,-433.39,0,0
521,892.87,-365.60,0,0
522,892.87,0.00,0,0
523,892.87,-772.79,0,0
524,892.87,-213.21,0,0
525,892.87,-177.88,0,0
526,892.87,-294.59,0,0
527,892.87,-301.11,0,0
528,892.87,-141.30,0,0
529,892.87,-215.90,0,0
530,892.87,-522.75,0,0
531,892.87,-269.13,0,0
532,892.87,-148.00,0,0
533,892.87,-142.08,0,0
534,892.87,-108.36,0,0
535,892.87,-210.88,0,0
536,892.87,-334.24,0,0
537,892.87,-140.71,0,0
538,892.87,-286.66,0,0
539,892.87,-247.21,0,0
540,892.87,-351.27,0,0
541,892.87,-218.28,0,0
542,892.87,-325.64,0,0
543,892.87,-450.26,0,0
544,892.87,-251.25,0,0
545,892.87,-279.49,0,0
546,892.87,-252.21,0,0
547,892.87,-295.22,0,0
548,892.87,-152.62,0,0
549,892.87,-493.44,0,0
550,892.87,-298.78,0,0
551,892.87,-469.39,0,0
552,892.87,-174.42,0,0
553,892.87,-146.47,0,0
554,892.87,-70.33,0,0
555,892.87,-597.72,0,0
556,892.87,-146.56,0,0
557,892.87,-71.20,0,0
558,892.87,-247.10,0,0
559,892.87,-154.51,0,0
560,892.87,-166.23,0,0
561,892.87,-449.76,0,0
562,892.87,-148.65,0,0
563,892.87,0.00,0,0
564,892.87,-182.60,0,0
565,892.87,-340.12,0,0
566,892.87,-142.08,0,0
567,892.87,-415.52,0,0
568,892.87,-162.12,0,0
569,892.87,-523.28,0,0
570,892.87,0.00,0,0
571,892.87,-443.06,0,0
572,892.87,-147.19,0,0
573,892.87,-280.47,0,0
574,892.87,-221.98,0,0
575,892.87,-212.29,0,0
576,892.87,-142.19,0,0
577,892.87,-152.95,0,0
578,892.87,-145.32,0,0
579,892.87,-137.78,0,0
580,892.87,-100.48,0,0
581,892.87,-270.74,0,0
582,892.87,-41.55,0,0
583,892.87,0.00,0,0
584,892.87,-574.32,0,0
585,892.87,-278.48,0,0
586,892.87,-148.53,0,0
587,892.87,-360.45,0,0
588,892.87,-286.20,0,0
589,892.87,-79.06,0,0
590,892.87,-275.92,0,0
591,892.87,-361.19,0,0
592,892.87,-311.96,0,0
593,892.87,-440.75,0,0
594,892.87,-242.60,0,0
595,892.87,-384.43,0,0
596,892.87,-599.01,0,0
597,892.87,-182.29,0,0
598,892.87,-184.99,0,0
599,892.87,-253.63,0,0
600,892.87,-283.31,0,0
